Zeit	Kanal A
(s)	(mV)

-9.99944175	-66.37549000
-9.99944155	-52.14997000
-9.99944135	-52.14997000
-9.99944115	-56.90206000
-9.99944095	-56.90206000
-9.99944075	-61.63877000
-9.99944055	-56.90206000
-9.99944035	-66.37549000
-9.99944015	-56.90206000
-9.99943995	-52.14997000
-9.99943975	-61.63877000
-9.99943955	-66.37549000
-9.99943935	-61.63877000
-9.99943915	-52.14997000
-9.99943895	-52.14997000
-9.99943875	-52.14997000
-9.99943855	-61.63877000
-9.99943835	-61.63877000
-9.99943815	-66.37549000
-9.99943795	-71.12758000
-9.99943775	-61.63877000
-9.99943755	-61.63877000
-9.99943735	-56.90206000
-9.99943715	-61.63877000
-9.99943695	-61.63877000
-9.99943675	-71.12758000
-9.99943655	-61.63877000
-9.99943635	-66.37549000
-9.99943615	-61.63877000
-9.99943595	-61.63877000
-9.99943575	-71.12758000
-9.99943555	-61.63877000
-9.99943535	-52.14997000
-9.99943515	-71.12758000
-9.99943495	-61.63877000
-9.99943475	-61.63877000
-9.99943455	-71.12758000
-9.99943435	-75.86429000
-9.99943415	-61.63877000
-9.99943395	-52.14997000
-9.99943375	-71.12758000
-9.99943355	-66.37549000
-9.99943335	-75.86429000
-9.99943315	-66.37549000
-9.99943295	-61.63877000
-9.99943275	-56.90206000
-9.99943255	-66.37549000
-9.99943235	-75.86429000
-9.99943215	-66.37549000
-9.99943195	-61.63877000
-9.99943175	-61.63877000
-9.99943155	-61.63877000
-9.99943135	-66.37549000
-9.99943115	-71.12758000
-9.99943095	-66.37549000
-9.99943075	-66.37549000
-9.99943055	-71.12758000
-9.99943035	-66.37549000
-9.99943015	-61.63877000
-9.99942995	-66.37549000
-9.99942975	-71.12758000
-9.99942955	-61.63877000
-9.99942935	-71.12758000
-9.99942915	-66.37549000
-9.99942895	-66.37549000
-9.99942875	-66.37549000
-9.99942855	-61.63877000
-9.99942835	-71.12758000
-9.99942815	-66.37549000
-9.99942795	-56.90206000
-9.99942775	-56.90206000
-9.99942755	-71.12758000
-9.99942735	-71.12758000
-9.99942715	-66.37549000
-9.99942695	-66.37549000
-9.99942675	-61.63877000
-9.99942655	-61.63877000
-9.99942635	-61.63877000
-9.99942615	-71.12758000
-9.99942595	-71.12758000
-9.99942575	-61.63877000
-9.99942555	-71.12758000
-9.99942535	-66.37549000
-9.99942515	-61.63877000
-9.99942495	-66.37549000
-9.99942475	-61.63877000
-9.99942455	-66.37549000
-9.99942435	-61.63877000
-9.99942415	-61.63877000
-9.99942395	-71.12758000
-9.99942375	-61.63877000
-9.99942355	-52.14997000
-9.99942335	-66.37549000
-9.99942315	-61.63877000
-9.99942295	-71.12758000
-9.99942275	-66.37549000
-9.99942255	-61.63877000
-9.99942235	-61.63877000
-9.99942215	-75.86429000
-9.99942195	-61.63877000
-9.99942175	-61.63877000
-9.99942155	-71.12758000
-9.99942135	-71.12758000
-9.99942115	-71.12758000
-9.99942095	-71.12758000
-9.99942075	-56.90206000
-9.99942055	-66.37549000
-9.99942035	-66.37549000
-9.99942015	-71.12758000
-9.99941995	-56.90206000
-9.99941975	-56.90206000
-9.99941955	-71.12758000
-9.99941935	-66.37549000
-9.99941915	-71.12758000
-9.99941895	-71.12758000
-9.99941875	-71.12758000
-9.99941855	-61.63877000
-9.99941835	-71.12758000
-9.99941815	-71.12758000
-9.99941795	-61.63877000
-9.99941775	-66.37549000
-9.99941755	-61.63877000
-9.99941735	-66.37549000
-9.99941715	-71.12758000
-9.99941695	-66.37549000
-9.99941675	-71.12758000
-9.99941655	-75.86429000
-9.99941635	-66.37549000
-9.99941615	-66.37549000
-9.99941595	-66.37549000
-9.99941575	-66.37549000
-9.99941555	-75.86429000
-9.99941535	-71.12758000
-9.99941515	-66.37549000
-9.99941495	-71.12758000
-9.99941475	-71.12758000
-9.99941455	-71.12758000
-9.99941435	-66.37549000
-9.99941415	-71.12758000
-9.99941395	-71.12758000
-9.99941375	-66.37549000
-9.99941355	-66.37549000
-9.99941335	-56.90206000
-9.99941315	-71.12758000
-9.99941295	-75.86429000
-9.99941275	-75.86429000
-9.99941255	-71.12758000
-9.99941235	-75.86429000
-9.99941215	-75.86429000
-9.99941195	-71.12758000
-9.99941175	-71.12758000
-9.99941155	-71.12758000
-9.99941135	-66.37549000
-9.99941115	-75.86429000
-9.99941095	-71.12758000
-9.99941075	-66.37549000
-9.99941055	-61.63877000
-9.99941035	-66.37549000
-9.99941015	-66.37549000
-9.99940995	-61.63877000
-9.99940975	-75.86429000
-9.99940955	-75.86429000
-9.99940935	-75.86429000
-9.99940915	-85.35310000
-9.99940895	-90.08981000
-9.99940875	-75.86429000
-9.99940855	-71.12758000
-9.99940835	-66.37549000
-9.99940815	-66.37549000
-9.99940795	-66.37549000
-9.99940775	-66.37549000
-9.99940755	-75.86429000
-9.99940735	-75.86429000
-9.99940715	-61.63877000
-9.99940695	-66.37549000
-9.99940675	-66.37549000
-9.99940655	-71.12758000
-9.99940635	-66.37549000
-9.99940615	-75.86429000
-9.99940595	-75.86429000
-9.99940575	-80.60101000
-9.99940555	-75.86429000
-9.99940535	-66.37549000
-9.99940515	-75.86429000
-9.99940495	-80.60101000
-9.99940475	-71.12758000
-9.99940455	-75.86429000
-9.99940435	-75.86429000
-9.99940415	-75.86429000
-9.99940395	-80.60101000
-9.99940375	-75.86429000
-9.99940355	-71.12758000
-9.99940335	-80.60101000
-9.99940315	-75.86429000
-9.99940295	-75.86429000
-9.99940275	-75.86429000
-9.99940255	-71.12758000
-9.99940235	-71.12758000
-9.99940215	-66.37549000
-9.99940195	-71.12758000
-9.99940175	-75.86429000
-9.99940155	-71.12758000
-9.99940135	-71.12758000
-9.99940115	-80.60101000
-9.99940095	-75.86429000
-9.99940075	-75.86429000
-9.99940055	-85.35310000
-9.99940035	-75.86429000
-9.99940015	-80.60101000
-9.99939995	-71.12758000
-9.99939975	-71.12758000
-9.99939955	-85.35310000
-9.99939935	-66.37549000
-9.99939915	-71.12758000
-9.99939895	-61.63877000
-9.99939875	-66.37549000
-9.99939855	-71.12758000
-9.99939835	-75.86429000
-9.99939815	-66.37549000
-9.99939795	-71.12758000
-9.99939775	-80.60101000
-9.99939755	-75.86429000
-9.99939735	-75.86429000
-9.99939715	-66.37549000
-9.99939695	-75.86429000
-9.99939675	-66.37549000
-9.99939655	-71.12758000
-9.99939635	-75.86429000
-9.99939615	-71.12758000
-9.99939595	-75.86429000
-9.99939575	-80.60101000
-9.99939555	-80.60101000
-9.99939535	-85.35310000
-9.99939515	-80.60101000
-9.99939495	-75.86429000
-9.99939475	-75.86429000
-9.99939455	-66.37549000
-9.99939435	-80.60101000
-9.99939415	-80.60101000
-9.99939395	-71.12758000
-9.99939375	-66.37549000
-9.99939355	-71.12758000
-9.99939335	-80.60101000
-9.99939315	-80.60101000
-9.99939295	-71.12758000
-9.99939275	-71.12758000
-9.99939255	-75.86429000
-9.99939235	-75.86429000
-9.99939215	-80.60101000
-9.99939195	-71.12758000
-9.99939175	-75.86429000
-9.99939155	-71.12758000
-9.99939135	-75.86429000
-9.99939115	-71.12758000
-9.99939095	-75.86429000
-9.99939075	-75.86429000
-9.99939055	-80.60101000
-9.99939035	-85.35310000
-9.99939015	-71.12758000
-9.99938995	-71.12758000
-9.99938975	-85.35310000
-9.99938955	-85.35310000
-9.99938935	-71.12758000
-9.99938915	-75.86429000
-9.99938895	-75.86429000
-9.99938875	-80.60101000
-9.99938855	-85.35310000
-9.99938835	-80.60101000
-9.99938815	-75.86429000
-9.99938795	-80.60101000
-9.99938775	-71.12758000
-9.99938755	-80.60101000
-9.99938735	-90.08981000
-9.99938715	-71.12758000
-9.99938695	-75.86429000
-9.99938675	-80.60101000
-9.99938655	-80.60101000
-9.99938635	-80.60101000
-9.99938615	-80.60101000
-9.99938595	-85.35310000
-9.99938575	-90.08981000
-9.99938555	-80.60101000
-9.99938535	-80.60101000
-9.99938515	-75.86429000
-9.99938495	-85.35310000
-9.99938475	-80.60101000
-9.99938455	-75.86429000
-9.99938435	-80.60101000
-9.99938415	-75.86429000
-9.99938395	-75.86429000
-9.99938375	-80.60101000
-9.99938355	-80.60101000
-9.99938335	-85.35310000
-9.99938315	-80.60101000
-9.99938295	-80.60101000
-9.99938275	-71.12758000
-9.99938255	-80.60101000
-9.99938235	-71.12758000
-9.99938215	-80.60101000
-9.99938195	-80.60101000
-9.99938175	-75.86429000
-9.99938155	-75.86429000
-9.99938135	-80.60101000
-9.99938115	-71.12758000
-9.99938095	-75.86429000
-9.99938075	-90.08981000
-9.99938055	-75.86429000
-9.99938035	-71.12758000
-9.99938015	-80.60101000
-9.99937995	-85.35310000
-9.99937975	-90.08981000
-9.99937955	-85.35310000
-9.99937935	-85.35310000
-9.99937915	-75.86429000
-9.99937895	-75.86429000
-9.99937875	-75.86429000
-9.99937855	-80.60101000
-9.99937835	-80.60101000
-9.99937815	-80.60101000
-9.99937795	-75.86429000
-9.99937775	-71.12758000
-9.99937755	-85.35310000
-9.99937735	-80.60101000
-9.99937715	-80.60101000
-9.99937695	-75.86429000
-9.99937675	-85.35310000
-9.99937655	-85.35310000
-9.99937635	-75.86429000
-9.99937615	-71.12758000
-9.99937595	-66.37549000
-9.99937575	-75.86429000
-9.99937555	-71.12758000
-9.99937535	-80.60101000
-9.99937515	-85.35310000
-9.99937495	-80.60101000
-9.99937475	-75.86429000
-9.99937455	-75.86429000
-9.99937435	-75.86429000
-9.99937415	-75.86429000
-9.99937395	-75.86429000
-9.99937375	-80.60101000
-9.99937355	-85.35310000
-9.99937335	-75.86429000
-9.99937315	-75.86429000
-9.99937295	-85.35310000
-9.99937275	-80.60101000
-9.99937255	-75.86429000
-9.99937235	-75.86429000
-9.99937215	-85.35310000
-9.99937195	-80.60101000
-9.99937175	-75.86429000
-9.99937155	-80.60101000
-9.99937135	-85.35310000
-9.99937115	-80.60101000
-9.99937095	-85.35310000
-9.99937075	-75.86429000
-9.99937055	-85.35310000
-9.99937035	-71.12758000
-9.99937015	-75.86429000
-9.99936995	-85.35310000
-9.99936975	-85.35310000
-9.99936955	-90.08981000
-9.99936935	-80.60101000
-9.99936915	-66.37549000
-9.99936895	-80.60101000
-9.99936875	-75.86429000
-9.99936855	-80.60101000
-9.99936835	-80.60101000
-9.99936815	-85.35310000
-9.99936795	-85.35310000
-9.99936775	-85.35310000
-9.99936755	-80.60101000
-9.99936735	-85.35310000
-9.99936715	-85.35310000
-9.99936695	-85.35310000
-9.99936675	-85.35310000
-9.99936655	-90.08981000
-9.99936635	-80.60101000
-9.99936615	-80.60101000
-9.99936595	-94.82652000
-9.99936575	-80.60101000
-9.99936555	-90.08981000
-9.99936535	-75.86429000
-9.99936515	-75.86429000
-9.99936495	-75.86429000
-9.99936475	-75.86429000
-9.99936455	-80.60101000
-9.99936435	-90.08981000
-9.99936415	-75.86429000
-9.99936395	-75.86429000
-9.99936375	-80.60101000
-9.99936355	-75.86429000
-9.99936335	-75.86429000
-9.99936315	-80.60101000
-9.99936295	-75.86429000
-9.99936275	-85.35310000
-9.99936255	-80.60101000
-9.99936235	-85.35310000
-9.99936215	-80.60101000
-9.99936195	-90.08981000
-9.99936175	-80.60101000
-9.99936155	-71.12758000
-9.99936135	-80.60101000
-9.99936115	-85.35310000
-9.99936095	-75.86429000
-9.99936075	-80.60101000
-9.99936055	-90.08981000
-9.99936035	-85.35310000
-9.99936015	-80.60101000
-9.99935995	-71.12758000
-9.99935975	-90.08981000
-9.99935955	-90.08981000
-9.99935935	-90.08981000
-9.99935915	-85.35310000
-9.99935895	-80.60101000
-9.99935875	-85.35310000
-9.99935855	-85.35310000
-9.99935835	-85.35310000
-9.99935815	-85.35310000
-9.99935795	-80.60101000
-9.99935775	-80.60101000
-9.99935755	-85.35310000
-9.99935735	-85.35310000
-9.99935715	-94.82652000
-9.99935695	-85.35310000
-9.99935675	-90.08981000
-9.99935655	-85.35310000
-9.99935635	-75.86429000
-9.99935615	-94.82652000
-9.99935595	-85.35310000
-9.99935575	-75.86429000
-9.99935555	-71.12758000
-9.99935535	-61.63877000
-9.99935515	-52.14997000
-9.99935495	-47.41326000
-9.99935475	-28.45103000
-9.99935455	-28.45103000
-9.99935435	-14.22552000
-9.99935415	-4.73671200
-9.99935395	-4.73671200
-9.99935375	-4.73671200
-9.99935355	4.73671200
-9.99935335	4.73671200
-9.99935315	9.47342500
-9.99935295	9.47342500
-9.99935275	14.22552000
-9.99935255	9.47342500
-9.99935235	9.47342500
-9.99935215	14.22552000
-9.99935195	14.22552000
-9.99935175	14.22552000
-9.99935155	18.96223000
-9.99935135	14.22552000
-9.99935115	18.96223000
-9.99935095	23.69894000
-9.99935075	23.69894000
-9.99935055	28.45103000
-9.99935035	28.45103000
-9.99935015	23.69894000
-9.99934995	23.69894000
-9.99934975	28.45103000
-9.99934955	14.22552000
-9.99934935	14.22552000
-9.99934915	23.69894000
-9.99934895	9.47342500
-9.99934875	33.18774000
-9.99934855	23.69894000
-9.99934835	18.96223000
-9.99934815	33.18774000
-9.99934795	33.18774000
-9.99934775	18.96223000
-9.99934755	23.69894000
-9.99934735	23.69894000
-9.99934715	37.92445000
-9.99934695	28.45103000
-9.99934675	14.22552000
-9.99934655	28.45103000
-9.99934635	23.69894000
-9.99934615	33.18774000
-9.99934595	28.45103000
-9.99934575	18.96223000
-9.99934555	28.45103000
-9.99934535	28.45103000
-9.99934515	23.69894000
-9.99934495	18.96223000
-9.99934475	37.92445000
-9.99934455	23.69894000
-9.99934435	28.45103000
-9.99934415	23.69894000
-9.99934395	14.22552000
-9.99934375	23.69894000
-9.99934355	23.69894000
-9.99934335	28.45103000
-9.99934315	28.45103000
-9.99934295	33.18774000
-9.99934275	28.45103000
-9.99934255	23.69894000
-9.99934235	33.18774000
-9.99934215	37.92445000
-9.99934195	33.18774000
-9.99934175	28.45103000
-9.99934155	18.96223000
-9.99934135	18.96223000
-9.99934115	14.22552000
-9.99934095	33.18774000
-9.99934075	23.69894000
-9.99934055	23.69894000
-9.99934035	18.96223000
-9.99934015	18.96223000
-9.99933995	14.22552000
-9.99933975	33.18774000
-9.99933955	28.45103000
-9.99933935	18.96223000
-9.99933915	28.45103000
-9.99933895	14.22552000
-9.99933875	23.69894000
-9.99933855	28.45103000
-9.99933835	33.18774000
-9.99933815	23.69894000
-9.99933795	18.96223000
-9.99933775	18.96223000
-9.99933755	23.69894000
-9.99933735	28.45103000
-9.99933715	28.45103000
-9.99933695	23.69894000
-9.99933675	18.96223000
-9.99933655	18.96223000
-9.99933635	23.69894000
-9.99933615	18.96223000
-9.99933595	18.96223000
-9.99933575	28.45103000
-9.99933555	18.96223000
